Newsletter Checkbox in Checkout,Newsletter Checkbox in Checkout
Enabled,Enabled
Checked by default,Checked by default
Hide newsletter checkbox if already subscribed,Hide newsletter checkbox if already subscribed
Allow existing subscribers to unsubscribe in checkout,Allow existing subscribers to unsubscribe in checkout
Checkbox label,Checkbox label
Available for guest checkout,Available for guest checkout?
Available for registering users,Available for registering users?
Available for logged in customers,Available for logged in Customers?
